latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness,cluster_label
-29.42615,-62.83392,335.18,0.47,0.48,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.91,3.67,D,335.18,0
-29.4251,-62.82902,341.06,0.47,0.48,2025-09-06,1828,N,VIIRS,60,2.0NRT,299.2,6.97,D,341.06,0
-29.42372,-62.83318,351.48,0.48,0.48,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.43,8.19,D,351.48,0
-29.37263,-61.59998,332.32,0.56,0.51,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.92,2.85,D,332.32,0
-29.28973,-59.60544,337.62,0.36,0.58,2025-09-06,1828,N,VIIRS,60,2.0NRT,292.95,2.65,D,337.62,0
-29.25144,-59.56437,334.24,0.37,0.58,2025-09-06,1828,N,VIIRS,60,2.0NRT,294.73,3.0,D,334.24,0
-29.23234,-55.62996,325.08,0.61,0.71,2025-09-06,1828,N,VIIRS,60,2.0NRT,290.01,3.58,D,325.08,0
-29.20984,-58.82837,326.02,0.41,0.6,2025-09-06,1828,N,VIIRS,60,2.0NRT,291.79,2.46,D,326.02,0
-29.1096,-62.60302,341.94,0.5,0.49,2025-09-06,1828,N,VIIRS,60,2.0NRT,303.04,5.93,D,341.94,0
-29.04428,-62.89866,330.01,0.48,0.48,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.58,2.43,D,330.01,3
-29.04403,-59.23236,330.52,0.39,0.59,2025-09-06,1828,N,VIIRS,60,2.0NRT,291.6,2.45,D,330.52,0
-29.00846,-59.27765,329.0,0.39,0.59,2025-09-06,1828,N,VIIRS,60,2.0NRT,290.98,1.83,D,329.0,0
-28.97889,-57.83461,337.17,0.47,0.64,2025-09-06,1828,N,VIIRS,60,2.0NRT,290.91,2.92,D,337.17,3
-28.97766,-57.82977,325.21,0.47,0.64,2025-09-06,1828,N,VIIRS,60,2.0NRT,291.71,2.92,D,325.21,0
